terminology,readcode,readterm
read2,46J1.,Urine chorionic gonadotrophin level
read2,44Zg.,Plasma human chorionic gonadotrophin concentration
read2,4Q27.,Human chorionic gonadotrophin level
read2,44ZA.,Plasma free beta human chorionic gonadotrophin level
read2,44ZO.,Total beta human chorionic gonadotrophin level
read2,44ZF.,Serum free beta human chorionic gonadotrophin level
ctv3,46J1.,Urine chorionic gonadotrophin level
ctv3,X76xw,Human beta chorionic gonadotrophin concentration
ctv3,XabDC,Plasma human chorionic gonadotrophin concentration
ctv3,X80Fn,Human chorionic gonadotrophin
ctv3,X80Fo,Human chorionic gonadotrophin - free beta
ctv3,X771z,Human chorionic gonadotrophin level
ctv3,XaESO,Plasma free beta human chorionic gonadotrophin level
ctv3,XaIfC,Total beta human chorionic gonadotrophin level
ctv3,XaESP,Serum free beta human chorionic gonadotrophin level
ctv3,X7720,Free beta human chorionic gonadotrophin level
