terminology,readcode,readterm
read2,46JD.,Urine dehydroepiandrosterone sulphate level
read2,447F.,Plasma dehydroepiandrosterone sulphate level
read2,447L.,Dehydroepiandrostenedione concentration level
read2,447E.,Dehydroepiandrosterone sulphate level
ctv3,4478.,Serum dehydroepiandrosterone level
ctv3,X80MP,16 Alpha-hydroxydehydroepiandrosterone sulphate
ctv3,XaIce,Urine dehydroepiandrosterone sulphate level
ctv3,XaItP,Plasma dehydroepiandrosterone sulphate level
ctv3,X80FW,Dehydroepiandrosterone
ctv3,XaLOe,Dehydroepiandrostenedione concentration level
ctv3,XaIqI,Dehydroepiandrosterone sulphate level
ctv3,X80FX,Dehydroepiandrosterone sulphate
